"property-thumbnail-summary-link href","property-thumbnail-summary-link src","btn","description","price","category","address","address 2","cac","sdb"
"https://www.centris.ca/fr/triplex~a-vendre~montreal-le-plateau-mont-royal/16191476","https://mspublic.centris.ca/media.ashx?id=ADDD250DE06B1A0DDDDDDDDDDF&t=pi&w=320&h=240&sm=c","45","16191476","1 145 000 $","Triplex à vendre","3558 - 3560, Rue De Bullion","Montréal (Le Plateau-Mont-Royal)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/24556130","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA854BEDDDDDDDDDD0&t=pi&w=320&h=240&sm=c","16","24556130","475 000 $","Condo à vendre","1045, Rue Wellington, app. 1904","Montréal (Le Sud-Ouest)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-saint-laurent/14146033","https://mspublic.centris.ca/media.ashx?id=ADDD250DE009D7CDDDDDDDDDD2&t=pi&w=320&h=240&sm=c","39","14146033","345 000 $","Condo à vendre","200, boulevard Marcel-Laurin, app. 105","Montréal (Saint-Laurent)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-anjou/21436857","https://mspublic.centris.ca/media.ashx?id=ADDD250DE09CEB1DDDDDDDDDD1&t=pi&w=320&h=240&sm=c","20","21436857","345 000 $","Condo à vendre","7200, Avenue M.-B.-Jodoin, app. 704","Montréal (Anjou)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/21616172","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB662FEDDDDDDDDDD0&t=pi&w=320&h=240&sm=c","53","21616172","415 000 $","Condo à vendre","2300, Rue Tupper, app. 1606","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/25758831","https://mspublic.centris.ca/media.ashx?id=ADDD250DE0EC70FDDDDDDDDDDF&t=pi&w=320&h=240&sm=c","27","25758831","449 900 $","Condo à vendre","1200, Rue Saint-Alexandre, app. 605","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/11999667","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB76ECCDDDDDDDDDDD&t=pi&w=320&h=240&sm=c","27","11999667","428 000 $","Condo à vendre","1020, Rue de la Montagne, app. 2109","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/21537184","https://mspublic.centris.ca/media.ashx?id=ADDD250DEC521D5DDDDDDDDDDB&t=pi&w=320&h=240&sm=c","21","21537184","375 000 $","Condo à vendre","1160, Rue MacKay, app. 511","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/27220836","https://mspublic.centris.ca/media.ashx?id=ADDD250DEF22EB9DDDDDDDDDDC&t=pi&w=320&h=240&sm=c","36","27220836","352 800 $","Condo à vendre","1414, Rue Chomedey, app. 928","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/9853147","https://mspublic.centris.ca/media.ashx?id=ADDD250DE098DD0DDDDDDDDDD0&t=pi&w=320&h=240&sm=c","45","9853147","428 824 $","Condo à vendre","1288, Rue Saint-Antoine Ouest, app. 1001","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-saint-laurent/22995696","https://mspublic.centris.ca/media.ashx?id=ADDD250DEAE3D98DDDDDDDDDDC&t=pi&w=320&h=240&sm=c","19","22995696","336 000 $","Condo à vendre","5250, boulevard Henri-Bourassa Ouest, app. 216","Montréal (Saint-Laurent)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/23053138","https://mspublic.centris.ca/media.ashx?id=ADDD250DE0F4B56DDDDDDDDDD0&t=pi&w=320&h=240&sm=c","35","23053138","412 000 $","Condo à vendre","1239, Rue Drummond, app. 809","Montréal (Ville-Marie)","1","1"
